id_paper,id_site,title,authors,authors_full,year,nurse_species,exp_type,variable,umbrella,unidad,mean_island,mean_bs,sd_island,sd_bs,n_island,n_bs,rii,sd_rii,mean_island_nit,mean_bs_nit,sd_island_nit,sd_bs_nit,mean_island_p,mean_bs_p,sd_island_p,sd_bs_p,n_island_fi,n_bs_fi,case_id,id_es,orig_RII,orig_RIIV,RII,RIIV,nit.RII,nit.RIIV,p.RII,p.RIIV,lat,long,soil_n,soil_phosphorus,aridity_index
134,26,Changes in plant interactions along a gradient of environmental stress,Pugnaire & Luque,"Pugnaire, F. I., & Luque, M. T.",2001,Retama sphaerocarpa,field,mass,biomass,no dice,17.9,17.3,6.3246,6.3246,10,10,NA,NA,3,1.6,0.3162,0.3162,NA,NA,NA,NA,10,10,91,86,0.017045454545454485,0.006458578774701749,0.017045454545454485,0.006458578774701749,0.30434782608695654,0.0010325479525873623,NA,NA,37.1333,-2.3666,1.899999976158142,27.64459991455078,0.19200000166893005
142,29,Effect of a native tree on seedling establishment of two exotic invasive species in a semiarid ecosystem.,Becerra & Bustamante,"Becerra, P. I., & Bustamante, R. O.",2011,Lithraea caustica,field,seedling_survival,survival,number,0.3886,1.2955,0.9918,1.2505,10,10,NA,NA,21,20.3,1.5,2.9,15.3,21.7,6.3,4.8,4,4,97,90,-0.5385072145359538,0.13789263188267437,-0.5385072145359538,0.13789263188267437,0.016949152542372864,0.0015322609587742307,-0.17297297297297293,0.010746322060911521,-33.5,-70.5,3.9000000953674316,42.78422927856445,0.36970001459121704
142,29,Effect of a native tree on seedling establishment of two exotic invasive species in a semiarid ecosystem.,Becerra & Bustamante,"Becerra, P. I., & Bustamante, R. O.",2011,Lithraea caustica,field,seedling_survival,survival,number,0.9,2.4,1.2937,0.9487,10,10,NA,NA,21,20.3,1.5,2.9,15.3,21.7,6.3,4.8,4,4,98,91,-0.4545454545454546,0.02205828848059863,-0.4545454545454546,0.02205828848059863,0.016949152542372864,0.0015322609587742307,-0.17297297297297293,0.010746322060911521,-33.5,-70.5,3.9000000953674316,42.78422927856445,0.36970001459121704
143,30,Grazing effects on shrub-induced resource islands and herbaceous vegetation heterogeneity in sagebrush-steppe communities,Davies et al.,"Davies, K. W., Copeland, S. M., & Bates, J. D.",2022,Artemisia tridentata,field,density,abundance,plants/m2,9.0566,7.2453,3.202,1.9212,8,8,NA,NA,16.4865,27.027,6.88,10.7022,5.0556,3.2778,2.5142,0.7857,8,8,105,98,0.11110974794349121,0.007325493808575541,0.11110974794349121,0.007325493808575541,-0.24223516839601505,0.01346287161272084,0.21333429332565337,0.017438074563509407,43.4833,-119.7166,2.0999999046325684,8.534425735473633,0.18930000066757202
143,30,Grazing effects on shrub-induced resource islands and herbaceous vegetation heterogeneity in sagebrush-steppe communities,Davies et al.,"Davies, K. W., Copeland, S. M., & Bates, J. D.",2022,Artemisia tridentata,field,density,abundance,plants/m2,21.1321,12.0755,7.8271,2.8462,8,8,NA,NA,16.4865,27.027,6.88,10.7022,5.0556,3.2778,2.5142,0.7857,8,8,106,99,0.27272672520748265,0.011734516325751478,0.27272672520748265,0.011734516325751478,-0.24223516839601505,0.01346287161272084,0.21333429332565337,0.017438074563509407,43.4833,-119.7166,2.0999999046325684,8.534425735473633,0.18930000066757202
143,30,Grazing effects on shrub-induced resource islands and herbaceous vegetation heterogeneity in sagebrush-steppe communities,Davies et al.,"Davies, K. W., Copeland, S. M., & Bates, J. D.",2022,Artemisia tridentata,field,density,abundance,plants/m2,14.6739,9.1848,2.4595,2.6132,8,8,NA,NA,16.4865,27.027,6.88,10.7022,5.0556,3.2778,2.5142,0.7857,8,8,107,100,0.23006701957776413,0.00289879867570156,0.23006701957776413,0.00289879867570156,-0.24223516839601505,0.01346287161272084,0.21333429332565337,0.017438074563509407,43.4833,-119.7166,2.0999999046325684,8.534425735473633,0.18930000066757202
143,30,Grazing effects on shrub-induced resource islands and herbaceous vegetation heterogeneity in sagebrush-steppe communities,Davies et al.,"Davies, K. W., Copeland, S. M., & Bates, J. D.",2022,Artemisia tridentata,field,density,abundance,plants/m2,0.9494,1.5032,1.2083,1.2979,8,8,NA,NA,16.4865,27.027,6.88,10.7022,5.0556,3.2778,2.5142,0.7857,8,8,108,101,-0.2258011905732692,0.07078410447946287,-0.2258011905732692,0.07078410447946287,-0.24223516839601505,0.01346287161272084,0.21333429332565337,0.017438074563509407,43.4833,-119.7166,2.0999999046325684,8.534425735473633,0.18930000066757202
143,30,Grazing effects on shrub-induced resource islands and herbaceous vegetation heterogeneity in sagebrush-steppe communities,Davies et al.,"Davies, K. W., Copeland, S. M., & Bates, J. D.",2022,Artemisia tridentata,field,density,abundance,plants/m2,3.0719,6.9935,1.6638,3.5124,8,8,NA,NA,16.4865,27.027,6.88,10.7022,5.0556,3.2778,2.5142,0.7857,8,8,109,102,-0.3896119379259642,0.030665447461454484,-0.3896119379259642,0.030665447461454484,-0.24223516839601505,0.01346287161272084,0.21333429332565337,0.017438074563509407,43.4833,-119.7166,2.0999999046325684,8.534425735473633,0.18930000066757202
147,31,Effect of desert shrubs on fine-scale spatial patterns of understory vegetation in a dry-land,Zhang et al.,"Zhang, G., Zhao, L., Yang, Q., Zhao, W., & Wang, X",2016,Calligonum mongolicum,field,biomass,biomass,g/m²,71.2831,20.5703,75.5982,27.3247,20,20,NA,NA,0.2,0.18,0.033,0.048,0.6,0.47,0.082,0.048,10,10,110,103,0.5521058556351751,0.08247918598547865,0.5521058556351751,0.08247918598547865,0.05263157894736847,0.0022676621572885413,0.12149532710280377,8.939891722740296e-4,39.3666,100.11666,1.5,6.295052528381348,0.09880000352859497
147,31,Effect of desert shrubs on fine-scale spatial patterns of understory vegetation in a dry-land,Zhang et al.,"Zhang, G., Zhao, L., Yang, Q., Zhao, W., & Wang, X",2016,Nitraria sphaerocarpa,field,biomass,biomass,g/m²,10.5455,27.8788,13.5519,33.6088,20,20,NA,NA,0.25,0.19,0.028,0.04,0.41,0.48,0.012,0.123,10,10,111,104,-0.4511025574961677,0.08242290390138036,-0.4511025574961677,0.08242290390138036,0.13636363636363635,0.0011393518202308587,-0.07865168539325844,0.0022376809907060863,39.3666,100.11666,1.5,6.295052528381348,0.09880000352859497
147,31,Effect of desert shrubs on fine-scale spatial patterns of understory vegetation in a dry-land,Zhang et al.,"Zhang, G., Zhao, L., Yang, Q., Zhao, W., & Wang, X",2016,Haloxylon ammodendron,field,biomass,biomass,g/m²,5.7143,20.8571,7.0276,17.8885,20,20,NA,NA,0.17,0.22,0.065,0.072,0.44,0.41,0.014,0.023,10,10,112,105,-0.5698909353665972,0.0564976250792553,-0.5698909353665972,0.0564976250792553,-0.12820512820512817,0.006449407614026032,0.03529411764705886,9.72176099424097e-5,39.3666,100.11666,1.5,6.295052528381348,0.09880000352859497
147,31,Effect of desert shrubs on fine-scale spatial patterns of understory vegetation in a dry-land,Zhang et al.,"Zhang, G., Zhao, L., Yang, Q., Zhao, W., & Wang, X",2016,Calligonum mongolicum,field,density,abundance,no dice,34.428,20.5904,34.1599,17.8225,20,20,NA,NA,0.2,0.18,0.033,0.048,0.6,0.47,0.082,0.048,10,10,113,106,0.2515085862184287,0.03312887444277031,0.2515085862184287,0.03312887444277031,0.05263157894736847,0.0022676621572885413,0.12149532710280377,8.939891722740296e-4,39.3666,100.11666,1.5,6.295052528381348,0.09880000352859497
147,31,Effect of desert shrubs on fine-scale spatial patterns of understory vegetation in a dry-land,Zhang et al.,"Zhang, G., Zhao, L., Yang, Q., Zhao, W., & Wang, X",2016,Nitraria sphaerocarpa,field,density,abundance,no dice,18.8192,21.9188,17.8225,22.7732,20,20,NA,NA,0.25,0.19,0.028,0.04,0.41,0.48,0.012,0.123,10,10,114,107,-0.07608620943590756,0.026262129110989886,-0.07608620943590756,0.026262129110989886,0.13636363636363635,0.0011393518202308587,-0.07865168539325844,0.0022376809907060863,39.3666,100.11666,1.5,6.295052528381348,0.09880000352859497
147,31,Effect of desert shrubs on fine-scale spatial patterns of understory vegetation in a dry-land,Zhang et al.,"Zhang, G., Zhao, L., Yang, Q., Zhao, W., & Wang, X",2016,Haloxylon ammodendron,field,density,abundance,no dice,18.3764,29.4465,14.8521,30.6944,20,20,NA,NA,0.17,0.22,0.065,0.072,0.44,0.41,0.014,0.023,10,10,115,108,-0.23148115233496921,0.03408547645780455,-0.23148115233496921,0.03408547645780455,-0.12820512820512817,0.006449407614026032,0.03529411764705886,9.72176099424097e-5,39.3666,100.11666,1.5,6.295052528381348,0.09880000352859497
148,32,Effect of the canopy of Retama sphaerocarpa on its understorey in a semiarid environment.,Moro et al.,"Moro, M. J., Pugnaire, F. I., Haase, P., & Puigdefábregas, J.",1997,Retama sphaerocarpa,glasshouse,individual_dry_mass,biomass,g,0.11,0.04,0.0316,0.0032,10,10,NA,NA,1.7,0.9,0.4899,0.2449,NA,NA,NA,NA,6,6,116,109,0.46666666666666673,0.009559672098765433,0.46666666666666673,0.009559672098765433,0.30769230769230765,0.010827503369980042,NA,NA,37.1333,-2.3666,1.899999976158142,27.64459991455078,0.19200000166893005
