"id_paper","id_site","title","authors","authors_full","year","nurse_species","exp_type","umbrella","n_rii","id_es","orig_RII","orig_RIIV","RII","RIIV","nit.RII","nit.RIIV","p.RII","p.RIIV","lat","long","soil_n","soil_phosphorus","aridity_index","tavg","prec","n_island","n_bs","n_island_fi","n_bs_fi"
16,3,"Moms are better nurses than dads: gender biased self-facilitation in a dioecious Juniperus tree","Montesinos et al.","Montesinos, Daniel*; Verdú, Miguel & García-Fayos, Patricio",2007,"Juniperus thurifera","field","survival",NA,17,0.126153982504188,0.00406391820249981,0.139073034052425,0.0453735410548736,0.485714285714286,0.0113548145063014,0.425669436749769,0.0127758083536816,40.04527,-1.144722,3.5,39.4032096862793,0.295300006866455,11.1416667501132,422,5,10,15,15
16,3,"Moms are better nurses than dads: gender biased self-facilitation in a dioecious Juniperus tree","Montesinos et al.","Montesinos, Daniel*; Verdú, Miguel & García-Fayos, Patricio",2007,"Juniperus thurifera","field","survival",NA,18,0.0904726849893522,0.00546501687702089,0.0872192459611439,0.0649806933872374,0.289473684210526,0.0051824046577866,0.495539334955393,0.0145185563076088,40.04527,-1.144722,3.5,39.4032096862793,0.295300006866455,11.1416667501132,422,5,10,15,15
44,7,"
Interactions of the indigenous evergreen shrub Sabina vulgaris with coexisting species in the Mu Us sandland","Ning et al.","Ning, L., Liu, C.-X., He, W.-M., Yu, F.-H.",2013,"Juniperus sabina","field","cover",NA,23,-0.677420985951497,0.0118200001733639,-0.409859011599701,0.0748904679111124,0.355350066050198,0.00197439514016361,0.0520833333333333,0.00027002001434196,39.493611,110.191389,1.60000002384186,3,0.256399989128113,6.54999986911813,371,40,40,40,40
81,19,"
Disentangling above- and below-ground facilitation drivers in arid environments: the role of soil microorganisms, soil properties and microhabitat","Lozano et al.","Lozano, Y.M., Armas, C., Hortal, S., Casanoves, F., Pugnaire, F.I.",2017,"Retama sphaerocarpa","field","survival",NA,44,0.0395715685155383,0.00254185034602136,0.0294207453413255,0.0336013550440581,0.473684210526316,0.00678285263822919,NA,NA,37.1333,-2.3666,1.89999997615814,27.6445999145508,0.19200000166893,15.4583333333333,341,8,8,3,3
81,19,"
Disentangling above- and below-ground facilitation drivers in arid environments: the role of soil microorganisms, soil properties and microhabitat","Lozano et al.","Lozano, Y.M., Armas, C., Hortal, S., Casanoves, F., Pugnaire, F.I.",2017,"Retama sphaerocarpa","field","survival",NA,45,-0.607594501682425,0.0158767910009751,-0.409920722103453,0.116791774965651,0.473684210526316,0.00678285263822919,NA,NA,37.1333,-2.3666,1.89999997615814,27.6445999145508,0.19200000166893,15.4583333333333,341,8,8,3,3
81,19,"
Disentangling above- and below-ground facilitation drivers in arid environments: the role of soil microorganisms, soil properties and microhabitat","Lozano et al.","Lozano, Y.M., Armas, C., Hortal, S., Casanoves, F., Pugnaire, F.I.",2017,"Retama sphaerocarpa","field","survival",NA,46,0.12448820461735,0.00379305712683635,0.0934162219000801,0.0543003824097699,0.473684210526316,0.00678285263822919,NA,NA,37.1333,-2.3666,1.89999997615814,27.6445999145508,0.19200000166893,15.4583333333333,341,8,8,3,3
89,20,"
Shrub facilitation of tree establishment varies with ontogenetic stage across environmental gradients","Urza et al.","Urza, A.K., Weisberg, P.J., Chambers, J.C., Sullivan, B.W.",2019,"Artemisia tridentata","field","emergence",NA,53,0.201716218017865,0.059510891920743,0.108163709107619,0.533581496278432,-0.147825464398416,0.0175642059764746,NA,NA,39.093611,-117.49388,3.90000009536743,10.0446510314941,0.157399997115135,6.46666664381822,272,5,5,12,12
89,20,"
Shrub facilitation of tree establishment varies with ontogenetic stage across environmental gradients","Urza et al.","Urza, A.K., Weisberg, P.J., Chambers, J.C., Sullivan, B.W.",2019,"Artemisia tridentata","field","emergence",NA,54,-0.00289767285764569,0.0290043285023148,-0.00159342051086932,0.314151862567065,-0.147825464398416,0.0175642059764746,NA,NA,39.093611,-117.49388,3.90000009536743,10.0446510314941,0.157399997115135,6.46666664381822,272,5,5,12,12
89,20,"
Shrub facilitation of tree establishment varies with ontogenetic stage across environmental gradients","Urza et al.","Urza, A.K., Weisberg, P.J., Chambers, J.C., Sullivan, B.W.",2019,"Artemisia tridentata","field","emergence",NA,55,0.279067094645071,0.0969138312920302,0.148460368848946,0.605748762315069,-0.147825464398416,0.0175642059764746,NA,NA,39.093611,-117.49388,3.90000009536743,10.0446510314941,0.157399997115135,6.46666664381822,272,5,5,12,12
140,27,"The widely invasive tree P inus radiata facilitates regeneration of native woody species in a semi‐arid ecosystem.","Becerra & Montenegro","Becerra, P. I., & Montenegro, G.",2013,"Pinus radiata","field","cover",NA,87,-0.511542689629901,0.00786944371478946,-0.354764504048898,0.0979792233871697,-0.021021021021021,0.0160884878086456,0,0.00693877551020408,-33.28333,-71.45,2.79999995231628,41.3076400756836,0.336499989032745,14.8749999205271,473,20,20,4,4
140,27,"The widely invasive tree P inus radiata facilitates regeneration of native woody species in a semi‐arid ecosystem.","Becerra & Montenegro","Becerra, P. I., & Montenegro, G.",2013,"Pinus radiata","field","abundance",NA,88,0.803405940594059,0.170189103040748,0.504839055990381,0.309131851660569,-0.021021021021021,0.0160884878086456,0,0.00693877551020408,-33.28333,-71.45,2.79999995231628,41.3076400756836,0.336499989032745,14.8749999205271,473,16,16,4,4
141,28,"Can native shrubs facilitate the establishment of trees under arid bioclimate? A case study from Tunisia.","Noumi","Noumi, Z.",2020,"Retama raetam","field","survival",NA,89,-0.48780185605075,0.391828445058277,-0.266940198968367,1.86964010098489,0.480413523330539,0.107062043877904,0.490384615384615,0.0327592458191057,33.5,9.6333,0.600000023841858,2.88496947288513,0.0617000013589859,20.9166666666667,149,4,4,4,4
142,29,"Effect of a native tree on seedling establishment of two exotic invasive species in a semiarid ecosystem.","Becerra & Bustamante","Becerra, P. I., & Bustamante, R. O.",2011,"Lithraea caustica","field","cover",NA,92,0.013986013986014,0.00214293408781932,0.0109931389153982,0.0272226801526423,0.0169491525423729,0.00153226095877423,-0.172972972972973,0.0107463220609115,-33.5,-70.5,3.90000009536743,42.7842292785645,0.369700014591217,12.5833334922791,606,10,10,4,4
143,30,"Grazing effects on shrub-induced resource islands and herbaceous vegetation heterogeneity in sagebrush-steppe communities","Davies et al.","Davies, K. W., Copeland, S. M., & Bates, J. D.",2022,"Artemisia tridentata","field","cover",NA,93,0.12217053295451,0.00872946757153544,0.0634131149762236,0.058338169507684,-0.242235168396015,0.0134628716127208,0.213334293325653,0.0174380745635094,43.4833,-119.7166,2.09999990463257,8.53442573547363,0.189300000667572,7.35833339889844,274,8,8,8,8
143,30,"Grazing effects on shrub-induced resource islands and herbaceous vegetation heterogeneity in sagebrush-steppe communities","Davies et al.","Davies, K. W., Copeland, S. M., & Bates, J. D.",2022,"Artemisia tridentata","field","cover",NA,94,0.358210336371628,0.0084132257184718,0.187824629393217,0.0296539434646378,-0.242235168396015,0.0134628716127208,0.213334293325653,0.0174380745635094,43.4833,-119.7166,2.09999990463257,8.53442573547363,0.189300000667572,7.35833339889844,274,8,8,8,8
